i: 1000000 	 x: 0.010000 	 y: 0.024199 	 
i: 1000000 	 x: 0.010000 	 y: 0.025382 	 
i: 1000000 	 x: 0.010000 	 y: 0.025482 	 
i: 1000000 	 x: 0.010000 	 y: 0.028026 	 
i: 2000000 	 x: 0.020000 	 y: 0.045916 	 
i: 2000000 	 x: 0.020000 	 y: 0.046473 	 
i: 2000000 	 x: 0.020000 	 y: 0.051672 	 
i: 2000000 	 x: 0.020000 	 y: 0.053065 	 
i: 3000000 	 x: 0.030000 	 y: 0.073559 	 
i: 3000000 	 x: 0.030000 	 y: 0.072314 	 
i: 3000000 	 x: 0.030000 	 y: 0.079799 	 
i: 3000000 	 x: 0.030000 	 y: 0.082084 	 
i: 4000000 	 x: 0.040000 	 y: 0.097328 	 
i: 4000000 	 x: 0.040000 	 y: 0.098607 	 
i: 4000000 	 x: 0.040000 	 y: 0.106417 	 
i: 4000000 	 x: 0.040000 	 y: 0.110010 	 
i: 5000000 	 x: 0.050000 	 y: 0.123968 	 
i: 5000000 	 x: 0.050000 	 y: 0.128274 	 
i: 5000000 	 x: 0.050000 	 y: 0.134127 	 
i: 5000000 	 x: 0.050000 	 y: 0.133951 	 
i: 6000000 	 x: 0.060000 	 y: 0.157529 	 
i: 6000000 	 x: 0.060000 	 y: 0.159528 	 
i: 6000000 	 x: 0.060000 	 y: 0.164676 	 
i: 6000000 	 x: 0.060000 	 y: 0.159528 	 
i: 7000000 	 x: 0.070000 	 y: 0.179363 	 
i: 7000000 	 x: 0.070000 	 y: 0.182132 	 
i: 7000000 	 x: 0.070000 	 y: 0.191819 	 
i: 7000000 	 x: 0.070000 	 y: 0.195113 	 
i: 8000000 	 x: 0.080000 	 y: 0.214073 	 
i: 8000000 	 x: 0.080000 	 y: 0.221894 	 
i: 8000000 	 x: 0.080000 	 y: 0.210621 	 
i: 8000000 	 x: 0.080000 	 y: 0.226436 	 
i: 9000000 	 x: 0.090000 	 y: 0.242028 	 
i: 9000000 	 x: 0.090000 	 y: 0.240081 	 
i: 9000000 	 x: 0.090000 	 y: 0.248749 	 
i: 9000000 	 x: 0.090000 	 y: 0.248749 	 
i: 10000000 	 x: 0.100000 	 y: 0.279890 	 
i: 10000000 	 x: 0.100000 	 y: 0.287218 	 
i: 10000000 	 x: 0.100000 	 y: 0.271749 	 
i: 10000000 	 x: 0.100000 	 y: 0.296902 	 
i: 11000000 	 x: 0.110000 	 y: 0.302687 	 
i: 11000000 	 x: 0.110000 	 y: 0.302529 	 
